timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624652034732,2234,Create Request-7,200,OK,jp@gc - Stress Ultimate Thread Group 1-88,text,true,,72838,141,194,194,https://code.jquery.com/jquery-3.5.1.slim.min.js,1476,0,913
1624652036966,2249,Create Request-8,200,OK,jp@gc - Stress Ultimate Thread Group 1-88,text,true,,22193,161,194,194,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,2162,0,1231
1624652039215,1067,Create Request-9,200,OK,jp@gc - Stress Ultimate Thread Group 1-88,text,true,,61203,163,194,194,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,1005,0,0
1624652032432,8790,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-157,text,true,,400833,1454,193,193,http://localhost:8082/createalbum.html,4,0,1
1624652032432,4,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-157,text,true,,4825,132,193,193,http://localhost:8082/createalbum.html,4,0,1
1624652032436,2,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-157,text,true,,1567,130,193,193,http://localhost:8082/css/tracks.css,2,0,0
1624652032438,1438,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-157,text,true,,32162,168,193,193,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,1400,0,1349
1624652033876,1148,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-157,text,true,,161472,165,193,193,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,521,0,354
1624652035024,3,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-157,bin,true,,38483,133,193,193,http://localhost:8082/img/choonzimg.png,3,0,0
1624652035027,2,Create Request-5,200,,jp@gc - Stress Ultimate Thread Group 1-157,text,true,,1245,128,193,193,http://localhost:8082/js/mutual.js,2,0,0
1624652035029,1,Create Request-6,200,,jp@gc - Stress Ultimate Thread Group 1-157,text,true,,4821,133,193,193,http://localhost:8082/js/createalbum.js,1,0,0
1624652035031,2676,Create Request-7,200,OK,jp@gc - Stress Ultimate Thread Group 1-157,text,true,,72862,141,193,193,https://code.jquery.com/jquery-3.5.1.slim.min.js,2104,0,1372
1624652037707,2663,Create Request-8,200,OK,jp@gc - Stress Ultimate Thread Group 1-157,text,true,,22193,161,193,193,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,2618,0,1634
1624652040370,851,Create Request-9,200,OK,jp@gc - Stress Ultimate Thread Group 1-157,text,true,,61203,163,193,193,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,768,0,0
1624652033680,7861,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-147,text,true,,400841,1454,192,192,http://localhost:8082/createalbum.html,3,0,1
1624652033680,3,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-147,text,true,,4825,132,192,192,http://localhost:8082/createalbum.html,3,0,1
1624652033683,2,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-147,text,true,,1567,130,192,192,http://localhost:8082/css/tracks.css,2,0,0
1624652033685,365,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-147,text,true,,32162,168,192,192,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,254,0,153
1624652034051,1056,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-147,text,true,,161480,165,192,192,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,441,0,268
1624652035107,2,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-147,bin,true,,38483,133,192,192,http://localhost:8082/img/choonzimg.png,2,0,0
1624652035109,1,Create Request-5,200,,jp@gc - Stress Ultimate Thread Group 1-147,text,true,,1245,128,192,192,http://localhost:8082/js/mutual.js,1,0,0
1624652035110,1,Create Request-6,200,,jp@gc - Stress Ultimate Thread Group 1-147,text,true,,4821,133,192,192,http://localhost:8082/js/createalbum.js,1,0,0
1624652035111,2766,Create Request-7,200,OK,jp@gc - Stress Ultimate Thread Group 1-147,text,true,,72862,141,192,192,https://code.jquery.com/jquery-3.5.1.slim.min.js,2182,0,1372
1624652037876,2666,Create Request-8,200,OK,jp@gc - Stress Ultimate Thread Group 1-147,text,true,,22193,161,192,192,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,2596,0,1646
1624652040543,997,Create Request-9,200,OK,jp@gc - Stress Ultimate Thread Group 1-147,text,true,,61203,163,192,192,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,938,0,0
1624652033779,8802,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-80,text,true,,400849,1454,191,191,http://localhost:8082/createalbum.html,16,0,1
1624652033779,16,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-80,text,true,,4825,132,191,191,http://localhost:8082/createalbum.html,16,0,1
1624652033795,2,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-80,text,true,,1567,130,191,191,http://localhost:8082/css/tracks.css,2,0,0
1624652033798,354,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-80,text,true,,32170,168,191,191,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,329,0,117
1624652034153,1218,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-80,text,true,,161472,165,191,191,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,624,0,320
1624652035371,2,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-80,bin,true,,38483,133,191,191,http://localhost:8082/img/choonzimg.png,2,0,0
1624652035373,1,Create Request-5,200,,jp@gc - Stress Ultimate Thread Group 1-80,text,true,,1245,128,191,191,http://localhost:8082/js/mutual.js,1,0,0
1624652035374,1,Create Request-6,200,,jp@gc - Stress Ultimate Thread Group 1-80,text,true,,4821,133,191,191,http://localhost:8082/js/createalbum.js,1,0,0
